feature,importance
guide_G_freq,0.05647281730963688
init_pos1_is_A,0.05101487893794146
anchor_C_freq,0.044899456522172136
anchor_AC_content,0.03736788054019086
anchor_GT_content,0.03726193285347847
max_homopolymer_length,0.026573885679911344
middle_G_freq,0.0227900933308458
correct_init_anchor_combined,0.022397498180962185
matches_AWAHH,0.022258194448173275
guide_C_freq,0.021335570579463205
dinuc_AT_freq,0.021232550750584733
guide_AT_content,0.02013099072299832
guide_GC_content,0.01947695043724955
anchor_T_freq,0.019440981380387076
correct_init_and_anchor_len,0.01921967363789374
GU_pair_potential,0.019016099004867844
anchor_AC_rich,0.01818034833225841
max_purine_run,0.016179839295978268
AT_skew,0.015541139330269616
normalized_polyA_content,0.014775097357347777
guide_A_freq,0.014772441881505895
anchor_T_is_low,0.013788221703839407
middle_A_freq,0.013248614314728775
starts_AWA,0.013102389218288699
C_freq,0.012980189657637748
T_freq,0.012560820825489902
G_freq,0.012452580323362075
dinuc_TA_freq,0.012253177413672437
3mer_diversity,0.011616948996636999
count_3mer_TTA,0.01161609610704206
A_freq,0.011586227086825074
guide_T_freq,0.0105195687346494
matches_expressed_profile,0.010305092039986103
GC_skew,0.010210029509790757
has_long_run,0.009926070944344131
2mer_diversity,0.009668728234300494
sequence_entropy,0.009501464797243555
AT_content,0.009446658026371112
num_editing_sites,0.00929876854514368
middle_T_freq,0.009063942841166033
guide_G_is_elevated,0.009025102367901406
num_AT_dinucs,0.009001276138790953
GC_content,0.008913164660654347
guide_C_is_low,0.008828583911104658
pyrimidine_freq,0.008145008931848467
purine_freq,0.007952273081464057
guide_purine_freq,0.00748446606171065
3prime_T_freq,0.007221141859223691
num_AA_dinucs,0.0068986037491901055
linguistic_complexity,0.006861489690960525
has_polyG,0.006795367575098245
guide_length,0.006563415359168965
num_unique_2mers,0.0062837966681487225
count_3mer_ATT,0.006060314404214147
count_3mer_AAA,0.006040505811262647
starts_AAA,0.0058870531028518795
anchor_A_freq,0.005869986314249919
num_unique_3mers,0.0058405279065631005
has_3mer_TTA,0.005721465402565582
has_AAAA_motif,0.005631549793834806
CpG_freq,0.005592893379518416
3prime_A_freq,0.005089842416798759
count_3mer_AAG,0.004738540191378468
num_TA_dinucs,0.004433583331006102
anchor_G_freq,0.00438109110271698
count_3mer_ATA,0.004272674310664385
count_3mer_TAT,0.0035400267299739115
normalized_polyT_content,0.0034818696226420576
5prime_AT_content,0.003475164454041922
count_3mer_AGA,0.0032792411819058103
5prime_GC_content,0.0032372408622459584
has_3mer_ATT,0.00287042494842865
3prime_G_freq,0.0027771066612735035
has_polyT,0.0025848906358771333
init_pos3_is_A,0.002532295756106164
count_3mer_TAA,0.002512165555695304
count_3mer_AAT,0.0023894801307906576
init_pos4_is_T,0.002321125638309957
has_TA_alternation,0.0022277152492525113
low_G_anchor_and_guide,0.0021438866771880095
has_3mer_AAG,0.002098276738127203
guide_length_canonical,0.0020710916478033675
has_3mer_ATA,0.0018831807294610152
has_TA_repeat_init,0.0016101935839540752
anchor_G_is_low,0.0015413341679482362
has_TTTT_motif,0.0014899836171995723
anchor_has_polyA,0.0014863773360611812
init_pos5_is_A,0.0014572274355393409
3prime_G_low,0.0012911602079728923
AT_rich_init_and_global,0.0012886048219678192
has_polyT_end,0.0012248071562047165
AC_anchor_and_AG_guide,0.0012078383370251276
ends_with_T,0.0011723373671733703
has_3mer_TAT,0.0011272730294483422
guide_A_is_high,0.0010950035035282987
has_3mer_TTC,0.0010942939981085083
matches_B_AWAHH,0.0010850103919766432
ends_with_A,0.0010810447503722398
init_pos2_is_T,0.0010606903050149913
has_ATATA_motif,0.0010314324618191464
has_3mer_AGA,0.0009860034903293798
count_3mer_TTC,0.0009027273912240313
has_anti_pattern,0.000809270831359143
CpG_is_rare,0.0007786352230287622
potential_hairpin,0.0007269602896483431
ends_with_G,0.0007063679232299872
has_3mer_AAA,0.0007036111591489953
has_polyA,0.0006596057637158297
has_AAAAT,0.0006438554520704381
starts_ATA,0.00033860605960658635
has_3mer_TAA,0.00033371440712115107
num_unique_nucleotides,0.0003159646567912898
init_alternating,0.000311442061952071
is_AT_rich,0.0003104680766002006
3prime_T_high,0.0002963737728997522
has_polyC,0.00024545543913308515
has_3mer_AAT,0.00022237976319284755
has_canonical_structure,0.00018434062617094052
T_end_with_polyT,0.00016808536958776312
nucleotide_diversity,0.00016586010594888133
is_GC_poor,0.00014466966599420544
has_ATATA,6.361669030160153e-05
has_TTTTT_motif,6.125337354391297e-05
matches_RYAYA,6.062207228082263e-05
ends_with_C,5.5473221011540804e-05
has_CG_alternation,1.7214066145560425e-05
anchor_length_canonical,0.0
anchor_length,0.0
init_anchor_combined,0.0
init_ATATA_and_T_end,0.0
init_anchor_in_range,0.0
editing_sites_canonical,0.0
has_AT_rich_window,0.0
anchor_has_polyC,0.0
